id,name,short_name,description,sector_id,country_id,year_established,chartable,hidden,urlslug
37,"Saudi Aramco","Saudi Aramco","Saudi Arabian Oil Company, through its subsidiaries, engages in the exploration, production, refining, distribution, shipping, and marketing of petroleum and chemicals. Its activities include exploring and developing oil and natural gas reserves; producing, refining, and shipping crude oil; exporting and marketing crude oil, petroleum products, and natural gas liquids; and producing petrochemicals. The company’s activities also include distribution of refined products, crude oil, and natural gas liquids to customers worldwide; and monitoring and controlling oil and gas pipelines. It also engages in generating and distributing electricity; producing and distributing potable and process water; supplying seawater to the industry; and treating industrial wastewater. The company was formerly known as Arabian American Oil Company and changed its name to Saudi Arabian Oil Company in November 1988. Saudi Arabian Oil Company was founded in 1933 and is based in Dhahran, Saudi Arabia. It has subsidiary locations in Saudi Arabia, China, Japan, India, the Netherlands, the Republic of Korea, Singapore, the United Arab Emirates, Egypt, the United Kingdom, and the United States.",1,10,1933,1,0,saudi_aramco
39,"Abu Dhabi Commercial Bank (ADCB)",ADCB,"Abu Dhabi Commercial Bank P.J.S.C. attracts deposits and offers retail and commercial banking services. The Bank offers project and trade finance, car, real estate and other consumer loans, private banking and investment advice, real estate management services, sponsors credit cards, and offers letters of credit.",6,13,,1,0,adcb
40,"ADNOC - Abu Dhabi Company for Onshore Oil Operations (ADCO)",ADCO,"The Abu Dhabi Company for Onshore Oil Operations (ADCO) operates onshore and in shallow coastal waters of the Emirate of Abu Dhabi, one of the seven members of the United Arab Emirates which was established on 2 December 1971.",1,13,1971,1,0,adco
41,"Arab Bank plc","Arab Bank","Established in 1930, Arab Bank headquartered in Amman, Jordan has one of the largest global Arab banking networks with over 600 branches in 28 countries spanning five continents. Arab Bank’s extensive network covers key financial markets and centers such as London, Dubai, Singapore, Geneva, Paris, Frankfurt, Sydney and Bahrain. Across its global network, the Bank provides a wide range of financial solutions through its main business lines which entail Consumer Banking, Corporate and Institutional Banking and Treasury, serving individuals, corporations, and other financial institutions.

As one of the leading banks in the MENA region, Arab Bank plays an integral role in financing vital infrastructure projects and strategic industries throughout the region. True to its founding vision of enabling the Arab world to reach preeminence, Arab Bank continues to be an engine of economic growth and an enabler of social and community development. ",6,5,,1,0,arab_bank
43,"National Bank of Abu Dhabi (NBAD)",NBAD,"National Bank of Abu Dhabi offers personal, corporate, and investment banking services. The Bank operates both locally in the United Arab Emirates and abroad in Egypt, Oman, Sudan, the United Kingdom, France, and Bahrain.",6,13,,1,0,nbad
44,"National Bank of Oman (NBO)","National Bank of Oman","National Bank of Oman SAOG provides retail, wholesale, investment, and Islamic banking services. The company conducts its operations through Retail Banking, Corporate Banking, Investment Banking, and Treasury and International Banking segments. ",6,8,,1,0,nbo
45,"National Commercial Bank (NCB)",NCB,"National Commercial Bank (NCB) provides commercial banking services. The Bank offers current, savings, time, and other deposit accounts, auto leases, home financing, corporate loans, currency exchange, money transfer, asset management, share brokerage, initial public offering subscription services, and private banking services. NCB operates in Saudi Arabia, with branches worldwide.",6,10,,1,0,ncb
46,"Oman Telecommunication (Omantel)",Omantel,"Oman Telecommunications Company is engaged in the establishment, development, operation, and maintenance of telecommunication services in the Sultanate of Oman, Pakistan, and Sri Lanka. The company operates in two segments, Fixed Lines and Other, and Mobile.",8,8,,1,0,omantel
47,"ORYX GTL","ORYX GTL","ORYX GTL is a synthetic fuel plant based in Ras Laffan Industrial City, Qatar, that is owned by Qatar Petroleum (51%) and Sasol (49%). It uses gas to liquids (GTL) technology for converting natural gas into liquid petroleum products.",1,9,,0,1,oryx_gtl
48,"Qatar Steel","Qatar Steel","Qatar Steel Company manufactures and sells steel products for customers in Qatar and internationally. It offers DRI (sponge iron), hot briquetted iron (HBI), steel billets, deformed bars, and wire rod and re-bar in coils. Its products are used in various public and private projects. The company distributes its products through a network of traders, who in turn supply them to project owners/end users in their respective markets. The company was founded in 1974 and is headquartered in Mesaieed, Qatar with a subsidiary in the United Arab Emirates. Qatar Steel Company operates as a subsidiary of Industries Qatar Q.S.C.",10,9,,1,0,qatar_steel
49,"WOQOD Qatar Fuel",WOQOD,"Qatar Fuel, or “WOQOD”, is a fuel storage, distribution, and marketing company, formed in 2002 as a joint stock company listed on the Qatar Exchange. The company was formed from the fuel storage and distribution assets owned at the time by Qatar Petroleum under the name of NODCO (National Oil Distribution Company)",5,9,2002,1,0,woqod
50,"Zamzam Association for Voluntary Health Works",Zamzam,"Zamzam Health Services Association was founded in Makkah under the umbrella of the Ministry of Social Affairs  with a focus on offering health volunteers in the source of Zamzam. Empowered by the opening of the Department of Women, many success stories were documented such as the project (malaria volunteer) in Qunfudah province, which was carried out by the joint program of Family and Community Medicine in Jeddah and received project (UNESCO Chair) as a pilot experiment in teacher training on health education.",11,10,,1,0,zamzam
51,"Qatar Fuel Additives Company (QAFAC)",QAFAC,"Qatar Fuel Additives Company, popularly known as QAFAC, is an outcome of the Nation’s farsighted strategic plan to diversify its petrochemical base and expand its downstream industries. The Company aims to optimize the utilization of the country’s vast hydrocarbon resources through producing and exporting Methanol and MTBE. Established in 1991, QAFAC is a joint venture between Industries Qatar, OPIC Middle East Corporation, International Octane LLC and LCY Middle East Corp. The Company commenced operations in 1999.",9,9,1991,1,0,qafac
52,Qatalum,Qatalum,"Qatalum is a primary aluminium smelter with a production capacity of 625,000 tonnes of high-quality primary aluminium products per annum. Located approximately 50 km South of Doha the site includes a port, carbon plan, twin 1.2 kilometer potlines, storage facilities, and a captive power plant. Qatalum is ISO 9001 certified and is a listed brand on the London Metals Exchange, and has received ISO /TS 16949 certification for its casthouse. Qatalum produces extrusion ingots and foundry alloys that meet the strict quality standards of Qatalum’s global customer base",10,9,2007,1,0,qatalum
54,"Qatar Chemical Company Ltd. (Q-Chem)",Q-Chem,"Q-Chem was established in 1997 as part of the Qatar’s vision to support development through economic diversification. Since then, we have increased our production capacities by more than two and a half fold and spurred the creation of Q-Chem II and RLOC to support Qatar’s booming chemicals industry",9,9,1997,1,0,q-chem
55,"Renaissance Services SAOG",Renaissance,"Renaissance Services SAOG (Renaissance) is an Omani multinational Oil & Gas company listed on the Muscat Securities Market since 1996. Renaissance has two core business groups and other group subsidiaries in engineering, media and communications, and education. In 2013 Renaissance advanced our ‘One Group-Two Companies’ strategy and strive to deliver growth and value through the development of two independent, world-class, internationally competitive businesses: Topaz, a global offshore support vessel shipping company, and Renaissance Contract Services Group, an international integrated facilities management and services company",15,8,1996,1,0,renaissance
56,"Ras Laffan Power Company (RLPC)",RLPC,"Ras Laffan Power Company (RLPC), founded in 2001, is the very first Independent Water and Power Plant (IWPP) in Qatar. It is an integrated facility, where Power generation with combined cycle Power plant and potable water production with Multistage Flash Distillation process operating in tandem to provide abundant, reliable, safe and clean electricity and water to the residence of the State of Qatar. ",12,9,2001,0,0,rlpc
57,"KAHRAMAA – Qatar General Electricity and Water Corporation",KAHRAMAA,"Qatar General Electricity & Water Corporation – KAHRAMAA, was established in July 2000 as a government corporation to regulate and maintain the supply of electricity and water to its customers. In 2002, Qatar Electricity & Water Company (QEWC) and KAHRAMAA have signed an agreement for the sale and transfer of the ownership of the stations owned by KAHRAMAA to the company. Since then, the production of electricity and desalination of water have been outsourced and KAHRAMAA has been focusing solely on their transmission, distribution and delivery to all consumers, as well as undertaking demand forecasting activities.",12,9,2000,1,0,kahramaa
58,"Wintershall Branch Qatar",Wintershall,"Wintershall has been active in Qatar for more than 30 years and currently holds one exploration license. Qatar Petroleum and Wintershall entered into an Exploration and Production Sharing Agreement (EP SA) for Block 4 North in November 2008. Mitsui Gas Development Qatar joined in 2010 by acquiring 20% of Wintershall’s interest under the EP SA with Wintershall retaining 80% interest and operatorship. Our Doha office is located in West Bay.",1,9,1973,0,0,wintershall
59,"Vodafone Egypt","Vodafone Egypt","Vodafone Egypt is the largest mobile phone company in Egypt in terms of active subscribers.[1] It was launched in 1998 under its former name Click GSM. It covers various voice and data exchange services, as well as 3G, ADSL and broadband Internet services.

Vodafone Egypt was initially headquartered in Maadi, Cairo since 1998 and until 2003; when Vodafone moved its headquarters to the Sixth of October City. Currently, all of Vodafone's core operations are run from Vodafone's campus at the Smart Village Technology Park.",8,2,1998,0,0,vodafone_egypt
60,"Dunia Finance",Dunia,"Dunia Finance LLC provides financial products and services. The company’s products include credit cards, personal and car loans, and fixed deposits. Additionally, it offers credit card promotion and financial planning services. Dunia Finance LLC was founded in 2006 and is based in Abu Dhabi, United Arab Emirates.",6,13,,1,0,dunia
61,"Savola Group",Savola,"The Savola Group was established in 1979, with the objective of manufacturing and marketing edible oil and vegetable ghee in Saudi Arabia. It is now one of the most successful and fastest growing multinational food groups in the Gulf and the Middle East Region, North African and Central Asian countries (MENACA), and has a wide portfolio of businesses & activities including (Edible Oils, Vegetable Ghee, Sugar, Pasta, Retail (Hypermarkets , Supermarkets and convenience stores ) and Plastics (flexible and rigid). The Group also has significant investments in leading publicly-listed Saudi companies, investment funds and real-estate businesses",23,10,1979,1,0,savola
62,Agility,Agility,"Agility’s story parallels the rise of emerging markets in the global economy. The company got its start as a local warehousing provider in Kuwait and grew to become the largest logistics company in the Middle East.It acquired more than 40 logistics brands around the world, investing billions to build a global network with a strong footprint in emerging markets. Today, Agility is one of the world’s largest integrated logistics providers with more than 20,000 employees and operations in 100 countries.",5,6,,1,0,agility
63,"Al Jazeera International Catering (JIC)",JIC,"Al  Jazeera International Catering Company (JIC) was established in 2008 as a partnership between Force 10 Group and Gulf Catering LLC. JIC offers Catering, Housekeeping and Laundry services to specialized customer segments (oilfields, remote sites, labour camps and institutions) across the Middle East.",15,13,2008,1,0,jic
64,"Majid Al Futtaim Properties","Majid Al Futtaim","Majid Al Futtaim Holding LLC is engaged in establishing, investing, and managing various commercial projects. It operates through Properties, Retail, and Ventures segments. The Properties segment is involved in investing, operating, and managing commercial projects, such as shopping malls, hotels, residential projects, leisure, and entertainment facilities. The Retail segment is engaged in the establishment and management of hypermarkets and supermarket with the franchise agreement with Carrefour Partenariat International. The Ventures segment is involved in establishing, investing, and management of commercial projects; and establishing and managing retail stores, as well as a provision of leisure, credit cards, and leasing activities; and healthcare services.",17,13,1992,1,0,majid_al_futtaim
65,"Maersk Oil - Qatar","Maersk Oil - Qatar","Maersk Oil Qatar is a subsidiary of Maersk Oil and produces approximately 300,000 barrels of oil equivalent (Boe) per day. We have been active in exploration and production in Qatar for more than 20 years – since 1992 – within the Al Shaheen field, 80 km off the north east coast of Qatar. This is operated under an exploration and production sharing agreement (EPSA) with Qatar Petroleum on behalf of the government of Qatar. All activities are conducted in co-operation between Qatar Petroleum and Maersk Oil Qatar",1,9,1992,1,0,maersk_qatar
66,"Masdar - Future Energy Company",Masdar,"Masdar is a commercially driven renewable energy company based in Abu Dhabi, United Arab Emirates and is a subsidiary of the Mubadala Development Company.  A strategic government initiative, the company has a mission to invest, incubate and establish the new energy industry in Abu Dhabi and around the world. Masdar is playing an important role in extending Abu Dhabi’s energy leadership beyond hydrocarbons. By adopting an integrated, holistic business model – merging higher education, R&D, investment and sustainable living – Masdar can meet the changing needs of the evolving industry.
",12,13,2006,1,0,masdar
67,"Majid Society","Majid Society","The Society of Majid Bin Abdulaziz for Development and Social Services was established in 1998 through an initiative by His Royal Highness Prince Majid Bin Abdulaziz (may God rest his soul) named “The Society of Majid Bin Abdulaziz for Development and Social Services.” It was registered in the Saudi Ministry of Social Affairs’ Charitable Organisations Register under No. 174 in 2000. The Society has entered a number of local and regional strategic partnerships to further ts sustainable development work. These partnerships aim to transfer and exchange expertise and best practices as well as help the Society achieve its strategic objectives and develop its programs.",11,10,1998,1,0,majid_society
68,"Mesaieed Petrochemical Holding Company Q.S.C.",MPHC,"Mesaieed Power Company Ltd (M Power) is a joint stock company established in January 2007 with the objective of increasing Qatar’s electrical generation capacity. M Power plant is located in the Mesaieed Industrial City (MIC), and is the third Independent Power Producer (IPP) project of its kind in the country, with a contract capacity of 2,001 megawatts (MW) in 2013.

",12,9,2007,0,1,mpower
69,"Sekem Holding Company",Sekem,"The Sekem Holding Company, through its subsidiaries, engages in the manufacture and sale of natural pharmaceuticals, as well as organic food, textiles, and other agricultural products. It manufactures and markets natural medicines and health care products for oncology, cardiology, dermatology, gynecology, immunology, neuropsychiatry, respiratory, rheumatology, urology, hepato-biliary, and gastro-intestinal areas in Europe and internationally. The company also produces organic food products, such as cereals, rice, vegetables, pasta, honey, jams, dates, spices, herbs, edible oils, herbal teas, coffee, and juices; and cotton fabrics and baby wear, including underwear and nightwear, as well as home textiles. In addition, it engages in milling, drying, and processing oil, rice, and dried legumes and oil seeds; processing herbs, spices, and dehydrated vegetables; and packing and supplying fresh and frozen fruits and vegetables. Further, the company offers indoor and outdoor seedlings and grafted seedlings; and provides grafting and plant raising services for organic and conventional tomatoes, cucumbers, cantaloupes, watermelons, squashes, pepper, and eggplants. Furthermore, it involves in the provision of information technology and ecological services. The Sekem Holding Company serves customers through retail outlets, supermarkets, and pharmacies in Egypt, as well as online primarily in Austria, Belgium, Czechia, Denmark, England, Finland, France, Germany, Hungary, Italy, Ireland, Luxembourg, Norway, Poland, Slovenia, Sweden, the Netherlands, Alexandria, and Cairo. The company was founded in 1977 and is based in Cairo, Egypt.",11,2,2008,1,0,sekem
70,"Aqaba Container Terminal  (ACT)",ACT,"The Aqaba Container Terminal Pvt. Co. (ACT) is a transit and cargo terminal located on the Red Sea in Aqaba City, Jordan. As Jordan’s only container terminal and main commercial port, ACT plays a vital role in supporting national and regional commercial economy. In operation since 2006, ACT is a joint venture between the Aqaba Development Corporation (ADC) and APM Terminals — a leading global provider of advanced logistical services. ACT is the logistical and economic backbone of Jordan’s commercial maritime operations in the Aqaba Special Economic Zone Authority (ASEZA).
",5,5,2006,1,0,act
71,"Qatar Fertiliser Company (QAFCO)",QAFCO,"Qatar Fertiliser Company (S.A.Q) was founded in 1969 as a joint venture between the Government of Qatar and Norsk Hydro Norway, Davy Power and Hambros Bank, to produce ammonia and urea. The country’s first large-scale venture in the petrochemical sector, QAFCO was established with a view to diversify the economy and utilize the nation’s enormous gas reserves. After successfully implementing several expansion projects over the past three decades, the Company has evolved into a world-class fertiliser producer. QAFCO is now owned 75% by Industries Qatar (IQ) and 25% by Yara Netherland.",9,9,1969,1,0,qafco
72,"The Saudi Investment Bank (SAIB)",SAIB,"The Saudi Investment Bank (SAIB) is a prominent financial institution that has been successfully operating in the Kingdom of Saudi Arabia for almost 40 years, with 48 branches, including 12 ladies branches, located throughout the Kingdom. SAIB is publicly listed on the Saudi Stock Exchange, with a market capitalization of 10,354,500,000 SAR, and total assets of 90,826,674,000 SAR in 2015.
We offer traditional wholesale, retail and commercial banking products. Our Personal and Corporate Banking segments provide deposits, loans, and other credit products for individuals, small to medium-sized businesses and corporate and institutional customers. 
On the wholesale side, we arrange financing of quasi-government and private industrial sectors and trade finance products for facilitating imports and increasing Saudi exports. On the retail side we offer a comprehensive range of Sharia compliant products and services including accounts, murabaha investments and personal finance solutions. 
We also provide a comprehensive range of Treasury and Institutional Banking products and services. Our Treasury segment provides money market services, investments, and other treasury services. The Asset Management and Brokerage segment is involved in dealing, managing, advising, and providing custody of securities services. 
We have also established successful joint-ventures and subsidiaries to offer services in the fields of investment banking and share trading, asset management, leasing, mortgage finance, insurance and credit cards. 
",6,10,,1,0,saib
73,"The Saudi British Bank","Saudi British Bank","Saudi British Bank attracts deposits and offers retail and commercial banking services. The Bank offers consumer, syndicated, structured, project finance loans, securities brokerage services, financial planning advice, private banking, mutual funds, factoring, and treasury services.",6,10,1978,1,0,saudi_british_bank
74,"Qatar Electricity & Water Co.",QEWC,"Qatar Electricity and Water Company (QEWC) is the first private sector company in the region, engaged in the generation of electricity and desalination of water. It was founded in 1990, as a Qatari shareholding company, in accordance with the provisions of the Commercial Companies Law, for the purpose of owning and operating power generation and water desalination stations and sell their products.",12,9,1990,1,0,qewc
75,"SE Test Company","SE Test","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet tristique massa. Nunc non hendrerit mauris. Suspendisse iaculis eros non sodales iaculis. Nulla blandit eleifend facilisis. Curabitur quis porttitor turpis. Etiam quis efficitur ipsum. Aenean dictum tortor eu lorem accumsan, et finibus metus egestas. Integer condimentum eget metus sit amet viverra. Cras feugiat dui sodales urna luctus, sit amet ultricies dui mattis. Mauris sodales sagittis mauris, sit amet porttitor sapien viverra a. Proin ultricies eros eros. Quisque faucibus condimentum rutrum. In maximus est dui. Vestibulum ornare lorem et ipsum placerat hendrerit.",15,5,1998,0,1,setest
76,"Oman Oil Company","Oman Oil","Oman Oil Company S.A.O.C., through its subsidiaries, produces, refines, and supplies oil, gas, and petrochemicals. The company develops upstream and downstream energy projects, including crude oil and natural gas exploration, production, refining, and supply. It also produces petrochemicals, including methanol and ammonia fertilizers. The company participates in projects that include gas transportation facilities; power production; re-gasification facilities; retail marketing of fuels; operation of shipping vessels for transportation of crude oil; operation and management of tank terminals and marine facilities; and operation of logistical infrastructure to provide storage handling and transportation services in relation to bulk liquid products.",1,8,,1,0,oman_oil
78,OMRAN,OMRAN,"Omran is the leading tourism-related investment‚ development and management company in Oman. Omran aims to create memorable destinations and experiences‚ which deliver long-term benefits to local communities and the national economy‚ working in harmony with Oman’s environment and natural resources.

Omran is the company behind many of Oman’s tourism assets and projects. The company's portfolio includes luxury hotels and resorts‚ a world-class sports venue‚ business destinations and large joint venture developments. The company's is Oman’s largest tourism-related company – with many new projects under development.",18,8,,1,0,omran
79,"ADNOC - Zakum Development Company",ZADCO,"ZADCO's mandate was to develop the Upper Zakum field on behalf of ADNOC and for the benefit of the shareholders in the joint venture, Abu Dhabi National Oil Company (ADNOC), ExxonMobil, and Japan Oil Development Company Ltd (JODCO). ",1,13,1977,1,0,zadco
80,"Emirates Nuclear Energy Corporation",ENEC,"The Emirates Nuclear Energy Corporation (ENEC) is the organization charged with implementing the UAE peaceful nuclear energy program. 

Launched in December 2009, ENEC specializes in the deployment, ownership and operation of nuclear power plants within the UAE to provide safe, clean, efficient and reliable electricity by 2017 to power the growth of the UAE. 

In addition, ENEC is responsible for: 

• Overseeing the work of the Prime Contractor in the design, construction and operation phases. 
• Working to build the human resource capacity for the nuclear energy program in coordination with the educational sector in the UAE. 
• Developing public communications and education programs to ensure that UAE residents understand the civil nuclear energy program and are provided information on the program’s progress. 

ENEC will also serve as the investment arm of the Government of Abu Dhabi, making strategic investments in the nuclear sector, both domestically and internationally. ",12,13,2009,0,0,enec
81,"Sohar Aluminium","Sohar Aluminium","Sohar Aluminium was formed in September 2004 to undertake a landmark Greenfield aluminium smelter project in the Sultanate of Oman and is jointly owned by Oman Oil Company, Abu Dhabi National Energy Company PJSC - TAQA and Rio Tinto Alcan.

By implementing decades of industry insight in its design, specification and construction Sohar Aluminium has been created to ensure efficiency, environmental protection and the utmost safety of its workforce. The smelter has an annual production capacity of 375,000 tonnes of high quality Aluminium.",10,8,2004,1,0,sohar_aluminium
82,"Union National Bank (UNB)",UNB,"Established as a Public Joint Stock Company in 1982, we are one of the leading domestic banks in the United Arab Emirates and are headquartered in Abu Dhabi. We offer a variety of products and services, addressing needs ranging from basic requirements of individuals to the more complex requirements of corporate entities.  Electronic delivery channels, ably supported by an extensive network of Banking Centers  spread across the emirates, offer greater banking convenience to our customers.",6,13,1982,1,0,unb
83,Ooredoo,Ooredoo,"Ooredoo Q.S.C., together with its subsidiaries, provides fixed and mobile telecommunications services. It operates in six segments: Ooredoo Qatar, Asiacell, Wataniya, Indosat, Nawras, and Others. The company offers domestic and international telecommunication services in Qatar; mobile telecommunication services in Iraq; and mobile telephone and pager systems and services in Kuwait, and the other parts of the Middle East and North African region. It also provides telecommunication services, such as cellular services, fixed telecommunications, multimedia, data communication, and Internet services in Indonesia; and mobile and fixed telecommunication services in Oman. The company was formerly known as Qatar Telecom (Qtel) Q.S.C. and changed its name to Ooredoo Q.S.C. in June 2013. Ooredoo Q.S.C. was founded in 1987 and is headquartered in Doha, Qatar.",8,9,1987,1,0,ooredoo
84,"Gulf Drilling International",GDI,"Gulf Drilling International Limited (GDI) was established in 2004 as the first onshore and offshore oil and gas drilling company in Qatar. GDI was formed as a joint venture between Qatar Petroleum (QP), Qatar’s national oil corporation, and Japan Drilling Co., Ltd. (JDC). In July 2007, QP acquired 25% shares of JDC, raising its ownership in GDI to 70%. In February of 2008, all shares of QP were transferred to Gulf International Services, q.s.c. (GIS) which became a public shareholding company in May 2008 and is listed on the Doha Securities Market.",15,9,,1,0,gdi
85,"Kuwait Oil Company",KOC,"Kuwait Oil Company's responsibilities under the KPC's umbrella involve the exploration, drilling and production of oil and gas within the State of Kuwait. The company is also involved in the storage of crude oil and delivery to tankers for export.",1,6,1934,1,0,koc
86,"Chalhoub Group",Chalhoub,"The Chalhoub Group has been the leading partner for luxury across the Middle East since 1955. As an expert in retail, distribution and marketing services based in Dubai, the Group has become a major player in the beauty, fashion and gift sectors regionally.",16,13,1955,1,0,chalhoub
87,"Petro Rabigh","Petro Rabigh","Rabigh Refining & Petrochemical Co. engages in the development, construction, and operation of an integrated refining and petrochemical complex.

It operates through the Refined Products and Petrochemicals segments.

It also manufactures and sells refined and petrochemical products.

Its products include gasoline, naphtha, jet fuel, diesel, fuel oil, polyethylene, mono ethylene, glycol, polypropylene, and propylene oxide.

The company was founded on September 19, 2005 and is headquartered in Rabigh, Saudi Arabia.",1,10,2005,1,0,petro_rabigh
88,"Abu Dhabi National Oil Company (ADNOC)",ADNOC,"Abu Dhabi National Oil Company (ADNOC) was established in 1971 to operate in all areas of the oil and gas industry and since then has steadily broadened its activity in establishing companies and subsidiaries and creating an integrated oil and gas industry in the fields of exploration and production, support services, oil refining and gas processing, chemicals and petrochemicals, maritime transportation and refined products and distribution.",1,13,1971,1,0,adnoc
89,"Abu Dhabi National Oil Company Distribution (ADNOC)","ADNOC Distribution","The company was established in 1973 as the first UAE government-owned company specialised in the marketing and distribution of petroleum products within the United Arab Emirates and internationally. As one of the region’s largest and most innovative petroleum companies, ADNOC Distribution is renowned and respected for the exceptional quality and reliability of its products and services.",5,13,1973,1,0,adnoc_distribution
90,"Kuwait Finance Housing",KFH,"Kuwait Finance House (KFH) is considered a pioneer in the banking phenomenon known as Islamic Finance or Shari’a Compliant Banking. KFH is the first Islamic bank established in 1977 in the State of Kuwait and today it’s one of the foremost Islamic financial institutions in the world",6,6,1977,1,0,kfh
